,Unnamed: 0,track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
0,8719,London Thumakda,Labh Janjua,spotify:track:2qJAzSE6uC94oH2NRoPrGl,0.835,0.718,0,-6.614,1,0.0818,0.363,0.000919,0.0625,0.64,139.964,230468,4,21.157970000000002,11,0
1,1547,Where The Party At,Jagged Edge With Nelly,spotify:track:5mNV8Mz59bzyuQ53gTw0c0,0.596,0.6609999999999999,5,-6.239,0,0.226,0.31,0.0,0.0847,0.86,129.491,232573,5,62.61618000000001,12,1
2,5254,Love in the Cemetery,Lord Kitchener,spotify:track:35lw3Neh7Tdb6cOM8bxbHa,0.551,0.618,7,-11.204,1,0.0698,0.797,0.0,0.126,0.963,99.088,209853,4,86.57835,10,0
3,9484,Starboy,The Weeknd Featuring Daft Punk,spotify:track:7MXVkk9YMctZqd1Srtv4MB,0.6779999999999999,0.588,7,-7.015,1,0.276,0.141,6.35e-06,0.13699999999999998,0.486,186.005,230453,4,15.66482,10,1
4,11102,Groovy Samba,Nicola Conte,spotify:track:1SwLulU98BiqwS5jnGx6Ai,0.606,0.856,2,-6.65,0,0.0346,0.494,0.632,0.11800000000000001,0.7809999999999999,109.995,210233,4,86.31726,6,0
5,6147,I Long to Worship You,Parachute Band,spotify:track:2z8tJqIh86TVj6pUBnNFFL,0.46299999999999997,0.284,0,-14.114,1,0.0285,0.7709999999999999,4.43e-06,0.132,0.14800000000000002,94.027,341658,4,29.165020000000002,16,0
6,12249,Drift Away,Uncle Kracker Featuring Dobie Gray,spotify:track:0RFgvrhkf9FiDRLA0BhzpZ,0.583,0.66,11,-5.078,1,0.0377,0.18100000000000002,0.0,0.0979,0.861,151.95600000000002,255560,4,35.94446,11,1
7,8882,The Lamb,John Tavener,spotify:track:1iUNUV6RiPrwKTKJjNQb5B,0.133,0.0312,4,-35.098,0,0.0463,0.9890000000000001,0.0287,0.12,0.0361,75.058,213147,4,86.34541,7,0
8,5304,Universal Mind Control,Common Featuring Pharrell,spotify:track:0GPVmKBQiwIp0RONkkbeDO,0.868,0.92,4,-4.17,0,0.055,0.39,0.0068200000000000005,0.155,0.6940000000000001,119.994,213613,4,51.04631,11,1
9,5567,Tango del Pecado,Calle 13,spotify:track:1lICGDyA8x0vNaOrSC3LSW,,0.7490000000000001,4,-6.117999999999999,0,0.254,0.34,0.0,0.10400000000000001,0.813,87.861,253253,4,48.48545,9,0
